КлиентНомер;КлиентКрНаим;Прибыль, usd;Цена суммарная;Себестоимость по Заказу , usd;Прибыль с учетом рибейтов;Объём по Накладной, м3;Общее Количество Заказов;Коррекция продактов ЦО в РБЮ;Коррекция продактов сейлам;Количество шт. в Накладной;Заказ Количество Строк;Доход конвертационный, usd
К0031038;ВИМ;-90,16;647,55;737,71;-90,16;0,264624;2;0;0;6;4;0
К0031071;Мэйпл Групп;61,08;1741,79;1680,71;61,08;0,054352;7;143,75;143,75;19;11;68,0716
К0031094;"ООО УК ""Строй-Дизайн"" (г. Тюмень)";196,24;643,07;446,83;196,24;0,085505;2;0;0;2;2;4,228
К0031547;Клг-Грандком;1039,64;6502,65;5463,01;1039,64;1,760861;8;0;0;533;46;35,5492
К0031637;ИП Горбатов П.А;10,84;789,05;778,21;10,84;0,108231;1;0;72,55;10;8;31,562
К0031687;Сервис-партнер;-25,57;434;459,57;-25,57;0,00455;1;14,85;0;4;3;17,36
К0031868;Техноцентр Тюмень (г. Тюмень);203,72;1578,06;1374,34;203,72;0,285732;2;0;0;5;2;0
К0031881;ИнфоКуб;1365,83;8476,36;7110,53;1365,83;1,323565;14;140,53;140,53;78;19;25,24
К0031932;Репорт;942,03;14990,31;14048,28;942,03;1,633465;35;532,9862;22,46;224;136;207,1752
К0032021;ООО ТД «ЧелябТрейд»;1706,35;13253,29;11546,94;1706,35;0,934239;5;4,6354;0;41;29;228,7552
К0032033;Вектор СБ;867,49;4958,02;4090,53;867,49;1,144284;6;0;0;20;19;74,3232
К0032082;123.РУ;162,69;2758,01;2595,32;162,69;0,370401;7;0;0;57;36;0
К0032125;Экотехника;-251,74;2853,45;3105,19;-251,74;2,264035;3;0;0;8;6;29,68
К0032250;Занин А.В.;-3,24;424,4;427,64;-3,24;0,024726;2;18,251;0;22;19;14,816
К0032284;Метелев А. А.;205,65;1913,46;1707,81;205,65;0,088412;4;16,3688;0;40;33;16,302
К0032337;Синнтерком;87,77;1125,44;1037,67;87,77;0,178462;3;26,8851;103,99;11;9;24,198
К0032432;Ритек Сетевые Технологии;-60,42;8568,05;8628,47;-60,42;0,755987;15;-4842,3381;3093,02;1060;54;139,838
